Country,Province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
China,Beijing,16.49273641,16.18497717,15.10310219,13.62032817,12.3194533,11.325,10.56011055,9.945694118,9.155293551,8.492490119,7.626911315,6.935967742,6.670299266,6.220465394,5.238600874,4.648764629,4.187876758,3.617582418,3.180393535,2.788086643
China,Tianjin,10.15407354,10.14837545,9.662255965,8.830212766,7.953707554,7.560458652,7.446186144,7.053475177,6.562409289,6.049589858,5.258506543,4.649511401,4.406802721,3.729506726,3.291348837,3.028379674,2.559667969,2.233234421,1.913505462,1.749900398
China,Hebei,4.852821338,4.697005506,4.375787773,4.135618842,3.860894915,3.594063989,3.442427967,3.32870472,3.177843569,2.956955199,2.502585488,2.176130225,2.031778509,1.750381679,1.455929255,1.280601372,1.114495521,0.935677353,0.819435783,0.755769518
China,Shanxi,5.054954181,4.850328853,4.556853227,4.126581197,3.399658509,3.363569196,3.428202948,3.391004243,3.292869222,3.058506457,2.491298265,2.0856726,2.117560833,1.749366342,1.396622222,1.215916542,1.048275862,0.861285456,0.705768063,0.620262836
China,Inner Mongolia,7.218212058,7.127329193,6.664244426,6.123345664,5.660632184,5.306967213,4.964556962,4.640488798,4.249228896,3.829190283,3.31711165,2.890235964,2.554173486,2.127171676,1.723312629,1.466375364,1.229586293,1.001005868,0.814135906,0.719781604
China,Liaoning,5.896924161,5.811386486,5.479025868,5.030844156,4.712849549,4.65889811,4.59515833,4.400641466,4.07968,3.734848139,3.176297143,2.952246026,2.812908459,2.394648674,1.964481386,1.720161099,1.534218639,1.402921615,1.298643826,1.200071531
China,Jilin,5.114790195,4.790359477,4.530515298,4.323832146,4.061940008,3.833907386,3.772331567,3.533695652,3.216456635,2.838385321,2.333636695,1.98350365,1.768361375,1.494615385,1.184906353,1.022275405,0.906312292,0.791789941,0.756984068,0.706391676
China,Heilongjiang,4.300941915,4.161105991,3.861286444,3.62253604,3.434883049,3.312553131,3.373281596,3.232160393,2.958055854,2.626916975,2.167571093,1.886800836,1.865150327,1.6020659,1.394140727,1.24513089,1.083232905,0.946186107,0.85043273,0.798583049
China,Shanghai,15.56115802,15.31140669,14.55022222,13.35158151,12.11471423,10.93856794,10.24312931,9.47879902,8.881033764,8.493081494,7.77915762,7.123257919,6.789771135,6.239680233,5.396588595,4.866190476,4.415040872,3.852774632,3.382953882,3.152098321
China,Jiangsu,12.12023599,11.64916755,11.03570921,10.19468123,9.229316311,8.569561034,7.828825021,7.244799805,6.613534483,6.087398729,5.25910535,4.413790013,3.986794641,3.365065389,2.774399164,2.388152346,1.970370863,1.668396353,1.432203619,1.285065906
China,Zhejiang,10.0067059,9.797960784,9.24642117,8.493209076,7.782279315,7.269456976,6.79516129,6.454806362,6.047915567,5.718994614,5.030273545,4.327843063,4.083768227,3.615906887,3.017093849,2.610358646,2.331390863,2.008112003,1.683563652,1.464939734
China,Anhui,6.337964935,6.048177938,5.597580645,4.899488195,4.360633184,3.964598237,3.755160914,3.43754175,3.068200067,2.726875419,2.224240389,1.772092644,1.551377343,1.298071265,1.063878887,0.927434641,0.823554913,0.698977771,0.622998047,0.571605744
China,Fujian,10.56906596,10.23123036,9.426851852,8.325313653,7.372858566,6.731802209,6.322458809,5.792483912,5.256625879,4.735121564,4.06241538,3.387370431,3.004067051,2.581838317,2.083291492,1.803626652,1.618617172,1.427641348,1.285270426,1.182264151
China,Jiangxi,5.685217969,5.462201063,5.033569688,4.480336954,4.089991103,3.741560758,3.497276786,3.194861483,2.862055866,2.589293697,2.102913492,1.721570397,1.575954545,1.322710623,1.082461397,0.914219439,0.793207283,0.661189469,0.580412127,0.519756331
China,Shandong,7.20269871,6.98006135,6.613962489,6.280484401,5.892158829,5.603973241,5.17687602,4.857818592,4.424938195,4.04189343,3.53801627,3.119408659,2.878432622,2.425333618,2.037576539,1.724426903,1.449684096,1.194871233,1.109502312,1.003893375
China,Henan,5.53457784,5.425492375,5.062439173,4.560474107,4.116312129,3.822708999,3.584738206,3.304345555,3.038386488,2.781809534,2.408825093,2.021819332,1.880994803,1.583814103,1.275330068,1.092057569,0.86561696,0.718154546,0.627847706,0.57906855
China,Hubei,7.522683983,7.664754513,7.101909752,6.306741192,5.667459643,5.187008547,4.855931912,4.377026561,3.90778412,3.462239583,2.83290852,2.306311189,2.013220102,1.658431304,1.322993149,1.133047285,0.973464373,0.836851363,0.742736248,0.685843054
China,Hunan,6.288606261,6.00814759,5.475463451,5.099969848,4.657132075,4.314225246,3.914884284,3.567454545,3.218088012,2.874183255,2.370517504,1.993880737,1.772319749,1.461132966,1.171807001,1.006939614,0.827500746,0.699384662,0.626263388,0.580942996
